episode,sarsa_run_1,sarsa_run_2,sarsa_run_3,sarsa_run_4,sarsa_run_5,sarsa_run_6,sarsa_run_7,sarsa_run_8,sarsa_run_9,sarsa_run_10
102,-23.000000,-48.000000,-22.000000,-60.000000,-34.000000,-41.000000,-41.000000,-31.000000,-30.000000,-28.000000
103,-49.000000,-33.000000,-57.000000,-27.000000,-23.000000,-29.000000,-60.000000,-31.000000,-30.000000,-49.000000
104,-175.000000,-21.000000,-31.000000,-22.000000,-52.000000,-38.000000,-37.000000,-167.000000,-44.000000,-25.000000
105,-142.000000,-29.000000,-28.000000,-46.000000,-24.000000,-25.000000,-159.000000,-23.000000,-38.000000,-35.000000
106,-23.000000,-33.000000,-35.000000,-21.000000,-35.000000,-317.000000,-149.000000,-49.000000,-170.000000,-33.000000
107,-65.000000,-23.000000,-32.000000,-21.000000,-29.000000,-407.000000,-19.000000,-147.000000,-36.000000,-34.000000
108,-25.000000,-288.000000,-141.000000,-58.000000,-37.000000,-35.000000,-33.000000,-60.000000,-42.000000,-153.000000
109,-27.000000,-49.000000,-44.000000,-28.000000,-23.000000,-30.000000,-33.000000,-21.000000,-33.000000,-38.000000
110,-152.000000,-35.000000,-34.000000,-29.000000,-45.000000,-40.000000,-258.000000,-22.000000,-22.000000,-160.000000
111,-50.000000,-140.000000,-23.000000,-23.000000,-171.000000,-38.000000,-29.000000,-45.000000,-45.000000,-41.000000
112,-50.000000,-27.000000,-24.000000,-19.000000,-59.000000,-250.000000,-40.000000,-23.000000,-41.000000,-42.000000
113,-186.000000,-36.000000,-35.000000,-24.000000,-48.000000,-22.000000,-17.000000,-43.000000,-39.000000,-31.000000
114,-33.000000,-35.000000,-29.000000,-27.000000,-169.000000,-39.000000,-29.000000,-54.000000,-31.000000,-26.000000
115,-153.000000,-141.000000,-41.000000,-23.000000,-53.000000,-45.000000,-153.000000,-24.000000,-26.000000,-31.000000
116,-53.000000,-34.000000,-38.000000,-44.000000,-54.000000,-42.000000,-39.000000,-40.000000,-47.000000,-29.000000
117,-34.000000,-24.000000,-48.000000,-29.000000,-141.000000,-33.000000,-29.000000,-30.000000,-29.000000,-36.000000
118,-51.000000,-28.000000,-120.000000,-28.000000,-39.000000,-148.000000,-128.000000,-73.000000,-42.000000,-44.000000
119,-142.000000,-48.000000,-43.000000,-29.000000,-134.000000,-37.000000,-30.000000,-32.000000,-139.000000,-41.000000
120,-46.000000,-23.000000,-142.000000,-31.000000,-29.000000,-29.000000,-28.000000,-43.000000,-55.000000,-29.000000
121,-28.000000,-31.000000,-34.000000,-21.000000,-31.000000,-35.000000,-36.000000,-33.000000,-127.000000,-44.000000
122,-33.000000,-39.000000,-35.000000,-26.000000,-28.000000,-37.000000,-40.000000,-41.000000,-34.000000,-45.000000
123,-43.000000,-34.000000,-36.000000,-28.000000,-31.000000,-39.000000,-37.000000,-39.000000,-198.000000,-55.000000
124,-156.000000,-44.000000,-29.000000,-27.000000,-32.000000,-31.000000,-31.000000,-51.000000,-39.000000,-28.000000
125,-32.000000,-35.000000,-135.000000,-31.000000,-40.000000,-43.000000,-45.000000,-29.000000,-36.000000,-31.000000
126,-44.000000,-31.000000,-30.000000,-33.000000,-40.000000,-125.000000,-31.000000,-30.000000,-27.000000,-34.000000
127,-36.000000,-32.000000,-39.000000,-23.000000,-56.000000,-66.000000,-30.000000,-23.000000,-31.000000,-39.000000
128,-33.000000,-26.000000,-30.000000,-137.000000,-39.000000,-35.000000,-35.000000,-27.000000,-37.000000,-43.000000
129,-130.000000,-239.000000,-37.000000,-57.000000,-30.000000,-54.000000,-27.000000,-29.000000,-31.000000,-139.000000
130,-36.000000,-25.000000,-72.000000,-29.000000,-25.000000,-36.000000,-23.000000,-35.000000,-54.000000,-27.000000
131,-28.000000,-27.000000,-19.000000,-31.000000,-29.000000,-38.000000,-50.000000,-34.000000,-39.000000,-41.000000
132,-42.000000,-35.000000,-23.000000,-30.000000,-46.000000,-38.000000,-141.000000,-28.000000,-30.000000,-25.000000
133,-31.000000,-24.000000,-29.000000,-17.000000,-31.000000,-32.000000,-19.000000,-33.000000,-29.000000,-46.000000
134,-28.000000,-28.000000,-39.000000,-125.000000,-40.000000,-161.000000,-34.000000,-42.000000,-26.000000,-41.000000
135,-33.000000,-19.000000,-27.000000,-33.000000,-21.000000,-37.000000,-22.000000,-27.000000,-21.000000,-24.000000
136,-29.000000,-23.000000,-166.000000,-25.000000,-26.000000,-31.000000,-32.000000,-35.000000,-28.000000,-35.000000
137,-23.000000,-30.000000,-25.000000,-41.000000,-38.000000,-31.000000,-37.000000,-33.000000,-26.000000,-367.000000
138,-40.000000,-139.000000,-141.000000,-38.000000,-35.000000,-46.000000,-133.000000,-34.000000,-52.000000,-25.000000
139,-21.000000,-39.000000,-148.000000,-30.000000,-156.000000,-33.000000,-22.000000,-29.000000,-17.000000,-42.000000
140,-25.000000,-154.000000,-23.000000,-32.000000,-31.000000,-29.000000,-31.000000,-35.000000,-22.000000,-42.000000
141,-25.000000,-21.000000,-31.000000,-32.000000,-33.000000,-326.000000,-43.000000,-23.000000,-38.000000,-43.000000
142,-37.000000,-17.000000,-23.000000,-27.000000,-22.000000,-25.000000,-23.000000,-29.000000,-37.000000,-25.000000
143,-29.000000,-27.000000,-31.000000,-25.000000,-26.000000,-23.000000,-25.000000,-33.000000,-32.000000,-23.000000
144,-33.000000,-29.000000,-35.000000,-31.000000,-35.000000,-35.000000,-25.000000,-31.000000,-19.000000,-125.000000
145,-27.000000,-20.000000,-30.000000,-19.000000,-31.000000,-21.000000,-60.000000,-22.000000,-22.000000,-31.000000
146,-21.000000,-33.000000,-28.000000,-24.000000,-46.000000,-43.000000,-27.000000,-32.000000,-23.000000,-23.000000
147,-35.000000,-29.000000,-52.000000,-168.000000,-30.000000,-44.000000,-21.000000,-31.000000,-25.000000,-32.000000
148,-21.000000,-27.000000,-35.000000,-29.000000,-25.000000,-31.000000,-33.000000,-31.000000,-32.000000,-31.000000
149,-21.000000,-277.000000,-27.000000,-19.000000,-26.000000,-44.000000,-23.000000,-40.000000,-31.000000,-40.000000
150,-41.000000,-46.000000,-125.000000,-31.000000,-37.000000,-125.000000,-22.000000,-21.000000,-25.000000,-25.000000
151,-35.000000,-25.000000,-33.000000,-25.000000,-35.000000,-27.000000,-44.000000,-27.000000,-23.000000,-31.000000
152,-27.000000,-31.000000,-27.000000,-19.000000,-21.000000,-34.000000,-29.000000,-23.000000,-129.000000,-21.000000
153,-29.000000,-38.000000,-27.000000,-33.000000,-29.000000,-136.000000,-26.000000,-31.000000,-29.000000,-25.000000
154,-36.000000,-59.000000,-29.000000,-29.000000,-29.000000,-25.000000,-27.000000,-25.000000,-17.000000,-39.000000
155,-21.000000,-24.000000,-39.000000,-21.000000,-34.000000,-28.000000,-31.000000,-23.000000,-29.000000,-35.000000
156,-29.000000,-23.000000,-29.000000,-25.000000,-24.000000,-29.000000,-31.000000,-22.000000,-22.000000,-37.000000
157,-45.000000,-22.000000,-34.000000,-31.000000,-39.000000,-25.000000,-35.000000,-27.000000,-164.000000,-27.000000
158,-27.000000,-29.000000,-21.000000,-27.000000,-35.000000,-33.000000,-151.000000,-25.000000,-24.000000,-27.000000
159,-27.000000,-35.000000,-26.000000,-128.000000,-24.000000,-26.000000,-27.000000,-35.000000,-31.000000,-179.000000
160,-20.000000,-29.000000,-44.000000,-25.000000,-24.000000,-143.000000,-25.000000,-32.000000,-31.000000,-21.000000
161,-23.000000,-127.000000,-25.000000,-23.000000,-30.000000,-27.000000,-45.000000,-27.000000,-23.000000,-18.000000
162,-29.000000,-21.000000,-36.000000,-18.000000,-26.000000,-29.000000,-21.000000,-20.000000,-29.000000,-41.000000
163,-27.000000,-29.000000,-33.000000,-23.000000,-53.000000,-39.000000,-21.000000,-21.000000,-29.000000,-24.000000
