episode,q_learning_run_1,q_learning_run_2,q_learning_run_3,q_learning_run_4,q_learning_run_5,q_learning_run_6,q_learning_run_7,q_learning_run_8,q_learning_run_9,q_learning_run_10
159,-146.000000,-28.000000,-19.000000,-125.000000,-22.000000,-23.000000,-124.000000,-27.000000,-129.000000,-137.000000
160,-157.000000,-19.000000,-21.000000,-27.000000,-255.000000,-23.000000,-26.000000,-27.000000,-20.000000,-26.000000
161,-26.000000,-24.000000,-146.000000,-47.000000,-152.000000,-26.000000,-21.000000,-20.000000,-28.000000,-34.000000
162,-15.000000,-254.000000,-24.000000,-24.000000,-27.000000,-264.000000,-25.000000,-43.000000,-23.000000,-18.000000
163,-22.000000,-143.000000,-34.000000,-29.000000,-18.000000,-145.000000,-23.000000,-18.000000,-26.000000,-15.000000
164,-27.000000,-132.000000,-25.000000,-15.000000,-18.000000,-20.000000,-40.000000,-16.000000,-43.000000,-139.000000
165,-131.000000,-13.000000,-23.000000,-30.000000,-24.000000,-34.000000,-44.000000,-26.000000,-16.000000,-25.000000
166,-157.000000,-37.000000,-28.000000,-15.000000,-238.000000,-138.000000,-16.000000,-27.000000,-135.000000,-21.000000
167,-19.000000,-143.000000,-24.000000,-240.000000,-22.000000,-24.000000,-15.000000,-148.000000,-15.000000,-22.000000
168,-23.000000,-33.000000,-35.000000,-23.000000,-139.000000,-17.000000,-26.000000,-132.000000,-19.000000,-250.000000
169,-24.000000,-121.000000,-19.000000,-23.000000,-27.000000,-21.000000,-18.000000,-137.000000,-29.000000,-18.000000
170,-37.000000,-128.000000,-137.000000,-29.000000,-25.000000,-28.000000,-19.000000,-23.000000,-126.000000,-20.000000
171,-24.000000,-21.000000,-141.000000,-353.000000,-156.000000,-19.000000,-132.000000,-27.000000,-27.000000,-24.000000
172,-21.000000,-22.000000,-15.000000,-28.000000,-15.000000,-15.000000,-161.000000,-26.000000,-34.000000,-29.000000
173,-27.000000,-25.000000,-25.000000,-22.000000,-16.000000,-25.000000,-17.000000,-28.000000,-13.000000,-22.000000
174,-16.000000,-158.000000,-250.000000,-124.000000,-129.000000,-24.000000,-247.000000,-14.000000,-221.000000,-32.000000
175,-18.000000,-15.000000,-25.000000,-367.000000,-24.000000,-25.000000,-149.000000,-27.000000,-19.000000,-13.000000
176,-143.000000,-127.000000,-20.000000,-16.000000,-22.000000,-24.000000,-29.000000,-36.000000,-20.000000,-15.000000
177,-22.000000,-21.000000,-15.000000,-27.000000,-38.000000,-32.000000,-21.000000,-20.000000,-25.000000,-21.000000
178,-23.000000,-124.000000,-20.000000,-343.000000,-22.000000,-19.000000,-35.000000,-17.000000,-36.000000,-32.000000
179,-23.000000,-245.000000,-26.000000,-119.000000,-22.000000,-18.000000,-26.000000,-23.000000,-19.000000,-22.000000
180,-28.000000,-35.000000,-24.000000,-33.000000,-17.000000,-28.000000,-21.000000,-30.000000,-16.000000,-23.000000
181,-23.000000,-23.000000,-22.000000,-132.000000,-31.000000,-24.000000,-29.000000,-26.000000,-24.000000,-27.000000
182,-16.000000,-21.000000,-27.000000,-146.000000,-30.000000,-25.000000,-20.000000,-120.000000,-26.000000,-22.000000
183,-24.000000,-37.000000,-13.000000,-213.000000,-17.000000,-19.000000,-15.000000,-18.000000,-37.000000,-17.000000
184,-24.000000,-26.000000,-17.000000,-23.000000,-14.000000,-351.000000,-24.000000,-25.000000,-19.000000,-14.000000
185,-234.000000,-13.000000,-17.000000,-21.000000,-18.000000,-36.000000,-16.000000,-32.000000,-17.000000,-15.000000
186,-132.000000,-22.000000,-18.000000,-23.000000,-42.000000,-22.000000,-24.000000,-21.000000,-150.000000,-33.000000
187,-19.000000,-26.000000,-33.000000,-14.000000,-20.000000,-19.000000,-23.000000,-15.000000,-25.000000,-230.000000
188,-31.000000,-123.000000,-19.000000,-21.000000,-16.000000,-13.000000,-127.000000,-13.000000,-136.000000,-17.000000
189,-131.000000,-15.000000,-24.000000,-23.000000,-16.000000,-19.000000,-131.000000,-27.000000,-36.000000,-26.000000
190,-17.000000,-20.000000,-35.000000,-26.000000,-23.000000,-15.000000,-144.000000,-18.000000,-135.000000,-23.000000
191,-20.000000,-16.000000,-141.000000,-129.000000,-19.000000,-39.000000,-15.000000,-22.000000,-13.000000,-36.000000
192,-21.000000,-25.000000,-21.000000,-116.000000,-19.000000,-24.000000,-28.000000,-20.000000,-17.000000,-20.000000
193,-148.000000,-15.000000,-124.000000,-22.000000,-15.000000,-25.000000,-17.000000,-28.000000,-252.000000,-34.000000
194,-17.000000,-14.000000,-29.000000,-27.000000,-30.000000,-13.000000,-13.000000,-13.000000,-23.000000,-24.000000
195,-29.000000,-136.000000,-21.000000,-17.000000,-25.000000,-25.000000,-32.000000,-17.000000,-21.000000,-19.000000
196,-24.000000,-18.000000,-23.000000,-128.000000,-24.000000,-19.000000,-22.000000,-28.000000,-141.000000,-19.000000
197,-14.000000,-16.000000,-29.000000,-19.000000,-18.000000,-367.000000,-18.000000,-20.000000,-251.000000,-13.000000
198,-140.000000,-19.000000,-15.000000,-25.000000,-19.000000,-18.000000,-125.000000,-27.000000,-31.000000,-15.000000
199,-15.000000,-31.000000,-15.000000,-25.000000,-16.000000,-373.000000,-130.000000,-15.000000,-238.000000,-32.000000
200,-143.000000,-17.000000,-16.000000,-30.000000,-18.000000,-20.000000,-27.000000,-18.000000,-18.000000,-24.000000
201,-30.000000,-15.000000,-18.000000,-19.000000,-129.000000,-17.000000,-15.000000,-21.000000,-20.000000,-26.000000
202,-23.000000,-20.000000,-31.000000,-24.000000,-36.000000,-15.000000,-18.000000,-22.000000,-18.000000,-15.000000
203,-21.000000,-18.000000,-134.000000,-15.000000,-135.000000,-359.000000,-123.000000,-39.000000,-15.000000,-25.000000
204,-119.000000,-24.000000,-26.000000,-22.000000,-23.000000,-15.000000,-31.000000,-131.000000,-13.000000,-28.000000
205,-28.000000,-29.000000,-138.000000,-254.000000,-19.000000,-15.000000,-22.000000,-126.000000,-32.000000,-16.000000
206,-13.000000,-18.000000,-19.000000,-21.000000,-17.000000,-19.000000,-17.000000,-121.000000,-25.000000,-17.000000
207,-18.000000,-24.000000,-13.000000,-21.000000,-20.000000,-29.000000,-19.000000,-25.000000,-21.000000,-13.000000
208,-23.000000,-17.000000,-21.000000,-121.000000,-23.000000,-120.000000,-15.000000,-14.000000,-25.000000,-26.000000
209,-15.000000,-17.000000,-17.000000,-21.000000,-15.000000,-20.000000,-21.000000,-23.000000,-13.000000,-16.000000
210,-24.000000,-21.000000,-128.000000,-22.000000,-44.000000,-127.000000,-133.000000,-122.000000,-22.000000,-40.000000
211,-13.000000,-13.000000,-31.000000,-244.000000,-14.000000,-14.000000,-130.000000,-18.000000,-23.000000,-19.000000
212,-32.000000,-32.000000,-133.000000,-22.000000,-21.000000,-244.000000,-23.000000,-21.000000,-22.000000,-15.000000
213,-20.000000,-125.000000,-14.000000,-28.000000,-139.000000,-14.000000,-18.000000,-22.000000,-17.000000,-123.000000
214,-15.000000,-36.000000,-22.000000,-21.000000,-13.000000,-30.000000,-28.000000,-16.000000,-19.000000,-22.000000
215,-13.000000,-19.000000,-19.000000,-25.000000,-130.000000,-15.000000,-18.000000,-15.000000,-14.000000,-33.000000
216,-21.000000,-24.000000,-21.000000,-121.000000,-132.000000,-128.000000,-358.000000,-33.000000,-137.000000,-16.000000
217,-137.000000,-22.000000,-24.000000,-13.000000,-20.000000,-24.000000,-15.000000,-125.000000,-17.000000,-22.000000
218,-135.000000,-23.000000,-21.000000,-14.000000,-129.000000,-15.000000,-15.000000,-20.000000,-127.000000,-24.000000
219,-30.000000,-20.000000,-19.000000,-17.000000,-16.000000,-146.000000,-115.000000,-134.000000,-143.000000,-13.000000
220,-126.000000,-117.000000,-123.000000,-17.000000,-15.000000,-130.000000,-142.000000,-121.000000,-22.000000,-17.000000
221,-21.000000,-131.000000,-16.000000,-20.000000,-25.000000,-26.000000,-13.000000,-19.000000,-13.000000,-17.000000
